,name,cik,ticker
165,Emerson Electric Company,32604.0,EMR
166,Enphase Energy,1463101.0,ENPH
168,EOG Resources,821189.0,EOG
170,Equinix,1101239.0,EQIX
171,Equity Residential,906107.0,EQR
176,Eversource Energy,72741.0,ES
172,"Essex Property Trust, Inc.",920522.0,ESS
159,Eaton Corporation,1551182.0,ETN
167,Entergy Corp.,65984.0,ETR
174,Etsy,1370637.0,ETSY
175,Evergy,1711269.0,EVRG
163,Edwards Lifesciences,1099800.0,EW
178,Exelon Corp.,1109357.0,EXC
180,Expeditors,746515.0,EXPD
179,Expedia Group,1324424.0,EXPE
181,Extra Space Storage,1289490.0,EXR
196,Ford Motor Company,37996.0,F
141,Diamondback Energy,1539838.0,FANG
185,Fastenal Co,815556.0,FAST
184,"Facebook, Inc.",1326801.0,FB
199,Fortune Brands Home & Security,1519751.0,FBHS
203,Freeport-McMoRan Inc.,831259.0,FCX
187,FedEx Corporation,1048911.0,FDX
190,FirstEnergy Corp,1031296.0,FE
183,F5 Networks,1048695.0,FFIV
188,Fidelity National Information Services,1136893.0,FIS
192,Fiserv Inc,798354.0,FISV
189,Fifth Third Bancorp,35527.0,FITB
194,FLIR Systems,354908.0,FLIR
193,FleetCor Technologies Inc,1175454.0,FLT
195,FMC Corporation,37785.0,FMC
201,Fox Corporation (Class B),1754301.0,FOX
191,First Republic Bank,1132979.0,FRC
186,Federal Realty Investment Trust,34903.0,FRT
197,Fortinet,1262039.0,FTNT
198,Fortive Corp,1659166.0,FTV
208,General Dynamics,40533.0,GD
209,General Electric,40545.0,GE
213,Gilead Sciences,882095.0,GILD
210,General Mills,40704.0,GIS
214,Globe Life Inc.,320335.0,GL
125,Corning Inc.,24741.0,GLW
211,General Motors,1467858.0,GM
207,Generac Holdings,1474735.0,GNRC
21,Alphabet Inc. (Class A),1652044.0,GOOGL
212,Genuine Parts,40987.0,GPC
215,Global Payments Inc.,1123360.0,GPN
204,Gap Inc.,39911.0,GPS
205,Garmin Ltd.,1121788.0,GRMN
216,Goldman Sachs Group,886982.0,GS
217,Grainger (W.W.) Inc.,277135.0,GWW
218,Halliburton Co.,45012.0,HAL
221,Hasbro Inc.,46080.0,HAS
238,Huntington Bancshares,49196.0,HBAN
219,Hanesbrands Inc,1359841.0,HBI
222,HCA Healthcare,860730.0,HCA
231,Home Depot,354950.0,HD
226,Hess Corporation,4447.0,HES
229,HollyFrontier Corp,48039.0,HFC
220,Hartford Financial Svc.Gp.,874766.0,HIG
239,Huntington Ingalls Industries,1501585.0,HII
228,Hilton Worldwide Holdings Inc,1585689.0,HLT
230,Hologic,859737.0,HOLX
232,Honeywell Int'l Inc.,773840.0,HON
227,Hewlett Packard Enterprise,1645590.0,HPE
236,HP Inc.,47217.0,HPQ
233,Hormel Foods Corp.,48465.0,HRL
224,Henry Schein,1000228.0,HSIC
234,Host Hotels & Resorts,1070750.0,HST
225,The Hershey Company,47111.0,HSY
237,Humana Inc.,49071.0,HUM
235,Howmet Aerospace,4281.0,HWM
249,International Business Machines,51143.0,IBM
248,Intercontinental Exchange,1571949.0,ICE
241,Idexx Laboratories,874716.0,IDXX
240,IDEX Corporation,832101.0,IEX
252,International Flavors & Fragrances,51253.0,IFF
244,Illumina Inc,1110803.0,ILMN
245,Incyte,879169.0,INCY
242,IHS Markit,1598014.0,INFO
247,Intel Corp.,50863.0,INTC
253,Intuit Inc.,896878.0,INTU
250,International Paper,51434.0,IP
251,Interpublic Group,51644.0,IPG
256,IPG Photonics Corp.,1111928.0,IPGP
257,IQVIA Holdings Inc.,1478242.0,IQV
246,Ingersoll Rand,1699150.0,IR
258,Iron Mountain Incorporated,1020569.0,IRM
254,Intuitive Surgical Inc.,1035267.0,ISRG
206,Gartner Inc,749251.0,IT
243,Illinois Tool Works,49826.0,ITW
255,Invesco Ltd.,914208.0,IVZ
260,Jacobs Engineering Group,52988.0,J
261,J. B. Hunt Transport Services,728535.0,JBHT
264,Johnson Controls International,833444.0,JCI
259,Jack Henry & Associates,779152.0,JKHY
263,Johnson & Johnson,200406.0,JNJ
266,Juniper Networks,1043604.0,JNPR
265,JPMorgan Chase & Co.,19617.0,JPM
268,Kellogg Co.,55067.0,K
269,KeyCorp,91576.0,KEY
270,Keysight Technologies,1601046.0,KEYS
275,Kraft Heinz Co,1637459.0,KHC
272,Kimco Realty,879101.0,KIM
274,KLA Corporation,319201.0,KLAC
271,Kimberly-Clark,55785.0,KMB
273,Kinder Morgan,1506307.0,KMI
85,Carmax Inc,1170010.0,KMX
114,Coca-Cola Company,21344.0,KO
276,Kroger Co.,56873.0,KR
267,Kansas City Southern,54480.0,KSU
292,Loews Corp.,60086.0,L
277,L Brands Inc.,701985.0,LB
284,Leidos Holdings,1336920.0,LDOS
761,Laidlaw,,LDW
283,Leggett & Platt,58492.0,LEG
285,Lennar Corp.,920760.0,LEN
279,Laboratory Corp. of America Holding,920148.0,LH
278,L3Harris Technologies,202058.0,LHX
288,Linde plc,1707925.0,LIN
290,LKQ Corporation,1065696.0,LKQ
286,Lilly (Eli) & Co.,59478.0,LLY
291,Lockheed Martin Corp.,936468.0,LMT
287,Lincoln National,59558.0,LNC
19,Alliant Energy,352541.0,LNT
293,Lowe's Cos.,60667.0,LOW
280,Lam Research,707549.0,LRCX
294,Lumen Technologies,18926.0,LUMN
419,Southwest Airlines,92380.0,LUV
282,Las Vegas Sands,1300514.0,LVS
281,Lamb Weston Holdings Inc,1679273.0,LW
295,LyondellBasell,1489393.0,LYB
289,Live Nation Entertainment,1335258.0,LYV
304,Mastercard Inc.,1141391.0,MA
317,Mid-America Apartments,912595.0,MAA
300,Marriott International,1048286.0,MAR
303,Masco Corp.,62996.0,MAS
307,McDonald's Corp.,63908.0,MCD
314,Microchip Technology,827054.0,MCHP
308,McKesson Corp.,927653.0,MCK
323,Moody's Corp,1059556.0,MCO
320,Mondelez International,1103982.0,MDLZ
309,Medtronic plc,1613103.0,MDT
311,MetLife Inc.,1099219.0,MET
313,MGM Resorts International,789570.0,MGM
318,Mohawk Industries,851968.0,MHK
305,McCormick & Co.,63754.0,MKC
299,MarketAxess,1278021.0,MKTX
302,Martin Marietta Materials,916076.0,MLM
301,Marsh & McLennan,62709.0,MMC
322,Monster Beverage,865752.0,MNST
23,Altria Group Inc,764180.0,MO
325,The Mosaic Company,1285785.0,MOS
298,Marathon Petroleum,1510295.0,MPC
321,Monolithic Power Systems,1280452.0,MPWR
310,Merck & Co.,310158.0,MRK
297,Marathon Oil Corp.,101778.0,MRO
324,Morgan Stanley,895421.0,MS
327,MSCI Inc,1408198.0,MSCI
316,Microsoft Corp.,789019.0,MSFT
326,Motorola Solutions Inc.,68505.0,MSI
296,M&T Bank,36270.0,MTB
312,Mettler Toledo,1037646.0,MTD
315,Micron Technology,723125.0,MU
306,Maxim Integrated Products,743316.0,MXIM
343,Norwegian Cruise Line Holdings,1513761.0,NCLH
328,"Nasdaq, Inc.",1120193.0,NDAQ
335,NextEra Energy,753308.0,NEE
332,Newmont Corporation,1164727.0,NEM
330,Netflix Inc.,1065280.0,NFLX
338,NiSource Inc.,1111711.0,NI
337,"Nike, Inc.",320187.0,NKE
342,NortonLifeLock,849399.0,NLOK
336,Nielsen Holdings,1492633.0,NLSN
341,Northrop Grumman,1133421.0,NOC
344,NOV Inc.,1021860.0,NOV
413,ServiceNow,1373715.0,NOW
345,NRG Energy,1013871.0,NRG
339,Norfolk Southern Corp.,702165.0,NSC
329,NetApp,1002047.0,NTAP
340,Northern Trust Corp.,73124.0,NTRS
346,Nucor Corp.,73309.0,NUE
347,Nvidia Corporation,1045810.0,NVDA
348,"NVR, Inc.",906163.0,NVR
331,Newell Brands,814453.0,NWL
