,class
MMM,0
AOS,0
ABT,1
ABBV,1
ABMD,1
ACN,1
ATVI,1
ADBE,1
AAP,1
AMD,0
AES,0
AFL,1
A,0
APD,1
AKAM,1
ALK,1
ALB,0
ARE,0
ALXN,1
ALGN,1
ALLE,1
LNT,1
ALL,0
GOOGL,0
GOOG,0
MO,0
AMZN,1
AEE,1
AAL,1
AEP,0
AXP,1
AIG,0
AMT,0
AWK,0
AMP,0
ABC,1
AME,1
AMGN,1
APH,1
ADI,1
ANSS,1
ANTM,0
AON,1
APA,0
AIV,0
AAPL,1
AMAT,1
APTV,1
ADM,1
ANET,1
AJG,1
AIZ,0
T,0
ATO,1
ADSK,1
ADP,0
AZO,0
AVB,0
AVY,1
BKR,0
BLL,1
BAC,1
BAX,1
BDX,0
BRK.B,1
BBY,1
BIO,1
BIIB,0
BLK,1
BA,1
BKNG,1
BWA,0
BXP,1
BSX,1
BMY,1
AVGO,1
BR,1
BF.B,1
CHRW,1
COG,0
CDNS,0
CPB,0
COF,0
CAH,1
KMX,0
CCL,0
CAT,1
CBOE,0
CBRE,1
CDW,1
CE,0
CNC,0
CNP,1
CTL,1
CERN,0
CF,1
SCHW,1
CHTR,0
CVX,0
CMG,1
CB,0
CHD,1
CI,0
CINF,1
CTAS,1
CSCO,1
C,1
CFG,0
CTXS,1
CME,1
CMS,0
KO,0
CTSH,1
CL,0
CMCSA,0
CMA,1
CAG,0
CXO,0
COP,0
ED,0
STZ,1
CPRT,1
GLW,0
COST,1
COTY,1
CCI,1
CSX,0
CMI,0
CVS,0
DHI,0
DHR,1
DRI,1
DVA,0
DE,1
DAL,0
XRAY,0
DVN,0
DXCM,1
FANG,1
DLR,0
DFS,1
DISCA,1
DISCK,1
DISH,0
DG,0
DLTR,0
D,1
DPZ,1
DOV,0
DTE,0
DUK,1
DRE,0
DD,0
DXC,1
ETFC,1
EMN,1
ETN,0
EBAY,0
ECL,0
EIX,1
EW,1
EA,1
EMR,1
ETR,1
EOG,0
EFX,0
EQIX,0
EQR,0
ESS,1
EL,1
RE,1
EVRG,0
ES,0
EXC,1
EXPE,0
EXPD,1
EXR,1
XOM,0
FFIV,1
FB,0
FAST,1
FRT,0
FDX,0
FIS,0
FITB,1
FRC,1
FE,1
FISV,1
FLT,0
FLIR,1
FLS,0
FMC,0
F,1
FTNT,1
FBHS,0
BEN,0
FCX,0
GPS,1
GRMN,0
IT,0
GD,1
GE,0
GIS,0
GM,0
GPC,0
GILD,0
GPN,1
GL,0
GS,1
GWW,1
HRB,0
HAL,0
HBI,0
HIG,0
HAS,1
HCA,1
PEAK,0
HSIC,0
HES,0
HPE,1
HLT,0
HFC,0
HOLX,0
HD,0
HON,0
HRL,0
HST,0
HPQ,1
HUM,1
HBAN,1
HII,1
IEX,0
IDXX,1
INFO,1
ITW,0
ILMN,1
INCY,0
IR,0
INTC,1
ICE,1
IBM,0
IFF,0
IP,0
IPG,1
INTU,1
ISRG,1
IVZ,0
IPGP,1
IQV,1
IRM,0
JBHT,1
JKHY,0
J,0
SJM,1
JNJ,0
JCI,0
JPM,1
JNPR,1
KSU,0
K,1
KEY,1
KEYS,1
KMB,0
KIM,0
KMI,0
KLAC,1
KSS,1
KHC,0
KR,0
LB,1
LHX,1
LH,1
LRCX,1
LVS,0
LEG,0
LDOS,0
LEN,0
LLY,0
LNC,0
LYV,1
LKQ,0
LMT,1
L,0
LOW,0
LYB,0
MTB,1
MRO,0
MPC,0
MKTX,1
MAR,1
MMC,1
MLM,0
MAS,0
MA,1
MXIM,1
MKC,1
MCD,0
MCK,0
MDT,0
MRK,0
MET,1
MTD,0
MGM,0
MCHP,0
MU,1
MSFT,1
MAA,0
MHK,0
TAP,0
MDLZ,1
MNST,0
MCO,1
MS,1
MSI,1
MSCI,1
MYL,0
NDAQ,1
NOV,0
NTAP,1
NFLX,1
NWL,1
NEM,0
NWSA,0
NWS,0
NEE,1
NLSN,0
NKE,1
NI,0
NBL,1
