,date,name,cik,variable,value
129,1967-09-30,CSX Corp.,277948.0,added_ticker,CSX
111,1969-03-31,The Clorox Company,21076.0,added_ticker,CLX
210,1969-03-31,General Mills,40704.0,added_ticker,GIS
332,1969-06-30,Newmont Corporation,1164727.0,added_ticker,NEM
307,1970-06-30,McDonald's Corp.,63908.0,added_ticker,MCD
286,1970-12-31,Lilly (Eli) & Co.,59478.0,added_ticker,LLY
62,1972-09-30,Baxter International Inc.,10456.0,added_ticker,BAX
63,1972-09-30,Becton Dickinson,10795.0,added_ticker,BDX
263,1973-06-30,Johnson & Johnson,200406.0,added_ticker,JNJ
212,1973-12-31,Genuine Parts,40987.0,added_ticker,GPC
236,1974-12-31,HP Inc.,47217.0,added_ticker,HPQ
493,1975-03-31,Williams Companies,107263.0,added_ticker,WMB
265,1975-06-30,JPMorgan Chase & Co.,19617.0,added_ticker,JPM
252,1976-03-31,International Flavors & Fragrances,51253.0,added_ticker,IFF
335,1976-06-30,NextEra Energy,753308.0,added_ticker,NEE
319,1976-06-30,Molson Coors Beverage Company,24545.0,added_ticker,TAP
60,1976-06-30,Bank of America Corp,70858.0,added_ticker,BAC
154,1976-06-30,Duke Energy,1326160.0,added_ticker,DUK
29,1976-06-30,American Express,4962.0,added_ticker,AXP
485,1976-06-30,Wells Fargo,72971.0,added_ticker,WFC
287,1976-06-30,Lincoln National,59558.0,added_ticker,LNC
481,1976-06-30,The Walt Disney Company,1744489.0,added_ticker,DIS
104,1976-06-30,Cigna,1739940.0,added_ticker,CI
247,1976-12-31,Intel Corp.,50863.0,added_ticker,INTC
433,1976-12-31,Target Corp.,27419.0,added_ticker,TGT
440,1978-12-31,Textron Inc.,217346.0,added_ticker,TXT
471,1979-06-30,VF Corporation,103379.0,added_ticker,VFC
480,1979-12-31,Walgreens Boots Alliance,1618921.0,added_ticker,WBA
30,1980-03-31,American International Group,5272.0,added_ticker,AIG
187,1980-12-31,FedEx Corporation,1048911.0,added_ticker,FDX
357,1980-12-31,Paccar,75362.0,added_ticker,PCAR
54,1981-03-31,Automatic Data Processing,8670.0,added_ticker,ADP
217,1981-06-30,Grainger (W.W.) Inc.,277135.0,added_ticker,GWW
303,1981-06-30,Masco Corp.,62996.0,added_ticker,MAS
47,1981-07-29,Archer-Daniels-Midland Co,7084.0,added_ticker,ADM
479,1982-08-31,Walmart,104169.0,added_ticker,WMT
417,1982-09-30,Snap-on,91440.0,added_ticker,SNA
420,1982-09-30,Stanley Black & Decker,93556.0,added_ticker,SWK
77,1982-10-31,Brown-Forman Corp.,14693.0,added_ticker,BF.B
44,1982-11-30,Apple Inc.,320193.0,added_ticker,AAPL
351,1982-12-31,Occidental Petroleum,797468.0,added_ticker,OXY
119,1983-08-31,Conagra Brands,23217.0,added_ticker,CAG
277,1983-09-30,L Brands Inc.,701985.0,added_ticker,LB
51,1983-11-30,AT&T Inc.,732717.0,added_ticker,T
469,1983-11-30,Verizon Communications,732712.0,added_ticker,VZ
293,1984-02-29,Lowe's Cos.,60667.0,added_ticker,LOW
385,1984-04-30,PulteGroup,822416.0,added_ticker,PHM
226,1984-05-31,Hess Corporation,4447.0,added_ticker,HES
291,1984-07-31,Lockheed Martin Corp.,936468.0,added_ticker,LMT
221,1984-09-30,Hasbro Inc.,46080.0,added_ticker,HAS
59,1984-10-31,Ball Corp,9389.0,added_ticker,BLL
346,1985-04-30,Nucor Corp.,73309.0,added_ticker,NUE
11,1985-04-30,Air Products & Chemicals,2969.0,added_ticker,APD
367,1985-05-31,PerkinElmer,31791.0,added_ticker,PKI
341,1985-06-30,Northrop Grumman,1133421.0,added_ticker,NOC
95,1985-07-31,CenterPoint Energy,1130310.0,added_ticker,CNP
442,1985-09-30,TJX Companies Inc.,109198.0,added_ticker,TJX
151,1985-10-31,Dover Corporation,29905.0,added_ticker,DOV
359,1985-11-30,Parker-Hannifin,76334.0,added_ticker,PH
243,1986-02-28,Illinois Tool Works,49826.0,added_ticker,ITW
204,1986-08-31,Gap Inc.,39911.0,added_ticker,GPS
309,1986-10-31,Medtronic plc,1613103.0,added_ticker,MDT
428,1986-12-31,Sysco Corp.,96021.0,added_ticker,SYY
301,1987-08-31,Marsh & McLennan,62709.0,added_ticker,MMC
57,1987-12-31,Avery Dennison Corp,8818.0,added_ticker,AVY
231,1988-03-31,Home Depot,354950.0,added_ticker,HD
374,1988-04-30,PNC Financial Services,713676.0,added_ticker,PNC
108,1988-05-31,Citigroup Inc.,831001.0,added_ticker,C
337,1988-11-30,"Nike, Inc.",320187.0,added_ticker,NKE
161,1989-01-31,Ecolab Inc.,31462.0,added_ticker,ECL
331,1989-04-30,Newell Brands,814453.0,added_ticker,NWL
214,1989-04-30,Globe Life Inc.,320335.0,added_ticker,GL
355,1989-08-31,Oracle Corp.,1341439.0,added_ticker,ORCL
53,1989-12-01,Autodesk Inc.,769397.0,added_ticker,ADSK
297,1991-05-01,Marathon Oil Corp.,101778.0,added_ticker,MRO
26,1991-09-19,Ameren Corp,1002910.0,added_ticker,AEE
36,1992-01-02,Amgen Inc.,318154.0,added_ticker,AMGN
288,1992-07-01,Linde plc,1707925.0,added_ticker,LIN
251,1992-10-01,Interpublic Group,51644.0,added_ticker,IPG
127,1993-10-01,Costco Wholesale Corp.,909832.0,added_ticker,COST
107,1993-12-01,Cisco Systems,858877.0,added_ticker,CSCO
158,1994-01-01,Eastman Chemical,915389.0,added_ticker,EMN
269,1994-03-01,KeyCorp,91576.0,added_ticker,KEY
463,1994-03-01,Unum Group,5513.0,added_ticker,UNM
316,1994-06-01,Microsoft Corp.,789019.0,added_ticker,MSFT
459,1994-07-01,UnitedHealth Group Inc.,731766.0,added_ticker,UNH
419,1994-07-01,Southwest Airlines,92380.0,added_ticker,LUV
315,1994-09-27,Micron Technology,723125.0,added_ticker,MU
73,1995-02-24,Boston Scientific,885725.0,added_ticker,BSX
45,1995-03-16,Applied Materials Inc.,6951.0,added_ticker,AMAT
61,1995-03-31,The Bank of New York Mellon,1390777.0,added_ticker,BK
20,1995-07-13,Allstate Corp,899051.0,added_ticker,ALL
118,1995-12-01,Comerica Inc.,28412.0,added_ticker,CMA
41,1996-04-23,Aon plc,315293.0,added_ticker,AON
55,1997-01-02,AutoZone Inc,866787.0,added_ticker,AZO
5,1997-05-05,Adobe Inc.,796343.0,added_ticker,ADBE
84,1997-05-27,Cardinal Health Inc.,721371.0,added_ticker,CAH
98,1997-06-02,Charles Schwab Corporation,316709.0,added_ticker,SCHW
169,1997-06-19,Equifax Inc.,33185.0,added_ticker,EFX
43,1997-07-28,APA Corporation,6769.0,added_ticker,APA
380,1997-08-04,Progressive Corp.,80661.0,added_ticker,PGR
499,1997-10-06,Yum! Brands Inc,1041061.0,added_ticker,YUM
448,1997-12-04,Truist Financial,92230.0,added_ticker,TFC
105,1997-12-18,Cincinnati Financial,20286.0,added_ticker,CINF
83,1998-07-01,Capital One Financial,927628.0,added_ticker,COF
397,1998-08-28,Regions Financial Corp.,1281761.0,added_ticker,RF
8,1998-10-02,AES Corp,874761.0,added_ticker,AES
86,1998-12-22,Carnival Corp.,815097.0,added_ticker,CCL
294,1999-03-25,Lumen Technologies,18926.0,added_ticker,LUMN
113,1999-05-03,CMS Energy,811156.0,added_ticker,CMS
9,1999-05-28,Aflac,4977.0,added_ticker,AFL
329,1999-06-25,NetApp,1002047.0,added_ticker,NTAP
65,1999-06-29,Best Buy Co. Inc.,764478.0,added_ticker,BBY
476,1999-06-30,Vulcan Materials,1396009.0,added_ticker,VMC
38,1999-10-12,"Analog Devices, Inc.",6281.0,added_ticker,ADI
497,1999-11-08,Xilinx,743988.0,added_ticker,XLNX
110,1999-12-01,Citrix Systems,877890.0,added_ticker,CTXS
761,1999-12-07,Laidlaw,,removed_ticker,LDW
1024,1999-12-07,Yahoo!,,added_ticker,YHOO
10,2000-06-05,Agilent Technologies,1090872.0,added_ticker,A
760,2000-07-27,RiteAid,,removed_ticker,RAD
1023,2000-07-27,JDS Uniphase,,added_ticker,JDSU
139,2000-08-30,Devon Energy,1090012.0,added_ticker,DVN
168,2000-11-02,EOG Resources,821189.0,added_ticker,EOG
758,2000-12-05,W.R. Grace,,removed_ticker,GRA
759,2000-12-05,Crown Holdings,,removed_ticker,CCK
1022,2000-12-05,Ambac Financial,,added_ticker,ABK
253,2000-12-05,Intuit Inc.,896878.0,added_ticker,INTU
400,2000-12-05,Robert Half International,315213.0,added_ticker,RHI
757,2000-12-05,Owens-Illinois,,removed_ticker,OI
756,2000-12-05,Bethlehem Steel,,removed_ticker,BS
1021,2000-12-05,Allegheny Energy,,added_ticker,AYE
1020,2000-12-05,Symbol Technologies,,added_ticker,SBL
424,2000-12-12,Stryker Corp.,310764.0,added_ticker,SYK
106,2001-03-01,Cintas Corporation,723254.0,added_ticker,CTAS
192,2001-04-02,Fiserv Inc,798354.0,added_ticker,FISV
502,2001-06-22,Zions Bancorp,109380.0,added_ticker,ZION
501,2001-08-07,Zimmer Biomet,1136869.0,added_ticker,ZBH
34,2001-08-30,AmerisourceBergen,1140859.0,added_ticker,ABC
347,2001-11-30,Nvidia Corporation,1045810.0,added_ticker,NVDA
171,2001-12-03,Equity Residential,906107.0,added_ticker,EQR
415,2002-06-26,Simon Property Group Inc,1063761.0,added_ticker,SPG
164,2002-07-22,Electronic Arts,712515.0,added_ticker,EA
460,2002-07-22,United Parcel Service,1090727.0,added_ticker,UPS
160,2002-07-22,eBay Inc.,1065088.0,added_ticker,EBAY
378,2002-07-22,Principal Financial Group,1126328.0,added_ticker,PFG
216,2002-07-22,Goldman Sachs Group,886982.0,added_ticker,GS
382,2002-07-22,Prudential Financial,1137774.0,added_ticker,PRU
