,t+1
MCK,-0.027897752313794655
D,0.06712308379223098
KLAC,-0.064703808180536
GLW,-0.05988928032209362
MET,-0.022104407297525497
DHR,0.06465094015415573
ETN,-0.10885554574874967
MSI,0.039571453257300826
NI,-0.025827293574142485
TROW,-0.01695131277083861
TPR,-0.10704064109902689
FITB,0.001425855513307983
USB,0.029371584699453557
BEN,-0.08826990379533184
PAYX,0.008695652173912993
WHR,0.016355006576313835
WY,-0.026641294005708804
RTX,-0.10461582698972416
HUM,-0.05097201229999482
HBAN,0.020104895104895215
TSN,0.03597290352721316
TXN,-0.041610738255033586
STT,-0.017579879378929908
K,0.055342902711323694
LEG,-0.029632636492794795
L,-0.021314843348741563
MKC,0.048319059184456004
NTRS,-0.01124612202688735
SPGI,0.004343105320304019
GE,-0.021371788770741862
MCO,0.01572847682119205
OMC,0.036742800397219444
ES,0.09202723479024821
WAT,0.032564975247524774
FCX,-0.3633989619339668
ROK,-0.07310103976506066
FE,0.039804041641151366
SRE,0.029120323559150618
VLO,0.0397844349342209
SBUX,0.07556628295581147
VNO,0.03842935586719998
VIAC,-0.04329933798532837
QCOM,0.020443740095087204
ED,0.09998270195467907
WM,0.09626929674099483
MS,-0.015712113532691308
MAR,-0.03469821855889388
PNW,0.08206207259337184
PPL,0.07248819959541475
DRI,0.02887401618963925
ETR,0.005094820266062783
IP,-0.002916059154342898
COP,-0.18159648837587372
AEP,0.06735849056603782
CVS,0.06354609929078014
XEL,0.07570586410176872
SO,0.06474648893120682
PEP,0.02718550106609796
CVX,-0.08120456905503626
PFE,0.07449109174807944
KR,0.07374469831714325
PPG,-0.06391432026256694
IBM,-0.012075379642617512
PG,-0.021558872305140975
DTE,0.07638795986622071
KMB,0.07730509745127434
CAT,-0.07916617870945086
HIG,0.11567339277334576
CPB,0.03202176642946841
KO,0.043169121381411824
CL,0.037048330538191676
NSC,-0.04039599453800635
PEG,0.05922724961870873
BMY,-0.012189616252821667
DE,-0.03034963600943308
SEE,0.024272779811211898
BA,0.026267084282460162
HSY,0.04125098083174539
EXC,0.018406854966677377
XOM,-0.0488712776176754
EIX,0.07641255605381159
F,-0.020472914300981748
GD,0.04690023169276136
HAL,-0.03331020124913253
MO,0.10776125483805243
UNP,0.012974880631098085
MRK,0.035657825399613596
HON,0.0201006562855095
ABT,0.02611336032388656
HWM,-0.11874572689415108
SHW,0.005793742757821407
EMR,-0.07041494521286151
SLB,-0.041657023837074814
CMI,-0.021233187244975027
CSX,-0.05010628606134215
CLX,0.07325023969319266
GIS,0.05605950653120462
NEM,-0.2615024488302482
MCD,0.05005257623554149
LLY,0.008472553699284013
BAX,0.06737683089214386
BDX,0.06353977352159945
JNJ,0.01943031536113926
GPC,-0.0057008718980549045
HPQ,0.006267247639796691
WMB,-0.08187543736878933
JPM,0.006018790369935356
IFF,0.04815016322089227
NEE,0.0689970531450057
TAP,0.011085844229675956
BAC,0.03652173913043466
DUK,0.04830508474576267
AXP,-0.032807731434384535
WFC,0.01366263794009459
LNC,-0.06724080821464062
DIS,0.04393214441061333
CI,-0.12045912448867446
INTC,-0.050508363397835376
TGT,-0.003045066991473777
TXT,-0.02845709204090696
VFC,0.10002774295169847
WBA,0.13575458392101547
AIG,0.0216698534098152
FDX,-0.004009063970716542
PCAR,0.0058951446053616685
ADP,0.0032700289271787586
GWW,-0.0410482180293501
MAS,0.10835783284334322
ADM,-0.026483268322726294
WMT,0.005307262569832494
SNA,0.025832555244319932
SWK,-0.011340206185567081
BF.B,0.0720930420027166
AAPL,-0.044129235618597384
OXY,-0.09454362455078602
CAG,0.003644421546873833
LB,-0.06509167850399866
T,-0.023883113234054565
VZ,0.0032161234991423537
LOW,0.028317272053372866
PHM,0.020187099950763177
HES,-0.1180690479748916
LMT,0.11338100102145043
HAS,0.06362285559908143
BLL,-0.04477611940298498
NUE,-0.0047350620067644345
APD,0.039915860261733105
PKI,-0.002262443438914019
NOC,0.08375093961413183
CNP,0.014158363922391226
TJX,0.04992481203007504
DOV,-0.09556737774699808
PH,-0.036900999402067036
ITW,-0.0317099567099568
GPS,-0.0492572322126662
MDT,0.055331179321486346
SYY,0.011420612813370479
MMC,0.009583551141313817
AVY,-0.00863473444118612
HD,0.040729212983548146
PNC,0.013314067499226034
C,0.04374218889484016
NKE,0.05754933455713629
ECL,0.01882642737749629
NWL,0.04314292600626657
GL,0.04247038917089685
ORCL,-0.016498399409012654
ADSK,-0.00019766752322603054
MRO,-0.2098533283189168
AEE,0.08821192052980131
AMGN,0.13973150897121478
IPG,0.09680741503604517
COST,0.07003491799656714
CSCO,0.036469730123997124
EMN,-0.05302572774489678
KEY,-0.028159790438768817
UNM,-0.013758943313153527
MSFT,0.05038236617183989
UNH,-0.012606750711671388
LUV,0.06910809214412295
MU,-0.028346456692913358
BSX,-0.026936026936026924
AMAT,-0.10237849017580147
BK,0.02021626704278323
ALL,0.0478723404255319
CMA,-0.09571020019065779
AON,-0.0016841688131563615
AZO,0.044869119313100114
ADBE,0.0051489518205223295
CAH,0.008186024439435169
SCHW,0.05186972255729816
EFX,0.042781294670206194
APA,-0.20437196391394863
PGR,0.059763724808894914
YUM,-0.036768274998855266
TFC,-0.011779095298677156
CINF,0.0787405164144317
COF,-0.08661948095719596
RF,-0.00764087870105068
AES,-0.03759398496240607
CCL,0.06772189941895412
LUMN,-0.03017972193964047
CMS,0.07297212652677731
AFL,0.015860428231562196
NTAP,-0.035006195786865035
BBY,-0.02002971695065947
VMC,0.07410903941468017
ADI,-0.10371850030731411
XLNX,-0.06348138178555407
CTXS,0.067787291700659
A,0.0529699151452816
RAD,0.05568720379146952
EOG,-0.12134319863403531
GRA,0.00019755842481727903
CCK,-0.037735849056603876
ABK,872.1578947368421
INTU,0.04063360881542688
RHI,-0.016970346552340088
OI,-0.07615750757247941
SBL,-0.9816496926323516
SYK,0.06276628909903348
CTAS,0.0028149190710766714
FISV,0.04073807812125585
ZBH,-0.05390909090909102
ABC,-0.013249976672576325
NVDA,-0.03202328966521106
EQR,0.06113520397546135
SPG,0.08931168906731823
EA,0.062045420810449725
UPS,0.049630844954881015
EBAY,0.09546775538189456
PFG,0.07307171853856564
GS,-0.030997495629164096
PRU,-0.004842887712580346
ANTM,-0.06853037072817292
TRV,0.06492724535875571
CMCSA,0.033620404107320256
DGX,0.011095890410959042
NLOK,-0.029454405314639054
PLD,0.08903191204076166
ESRX,0.00614387846291331
BIIB,-0.21928881373237186
MTB,0.036185509994469456
VTRS,-0.18286631640396955
GILD,-0.002116670900008444
TMO,0.0678043927450831
LH,0.04644853666557047
NOV,-0.12702030667219222
DHI,0.07106782106782106
STZ,-0.002907701254465489
PSA,0.11900087260034908
AMP,-0.010394519253484447
LEN,0.028106549715444018
AMZN,0.22032548082394432
EL,0.02295947652393515
VRSN,0.13704119249879776
BXP,0.043684054405462636
GOOG,0.1922512530253655
KIM,0.1006681514476615
JNPR,0.07978723404255317
CME,0.023553075681212565
WU,-0.012201073694485087
CBRE,0.016055659620016094
FIS,0.05277554304102994
CTSH,0.02120084156012303
AVB,0.07303405765518955
RL,-0.05587220638968049
VAR,0.014019879012355574
CHRW,0.11721611721611724
HST,-0.06105008496863262
AIZ,0.09899823217442538
DFS,-0.042052866460693394
AKAM,0.09118065433854894
MCHP,-0.10563674321503125
ICE,0.012655979395177486
MXIM,-0.02183908045977001
TDC,-0.00402576489533002
SLR,0.0
EXPE,0.11208791208791213
EXPD,0.006658075601374547
J,0.02656592737021679
AMT,0.013101832126118484
GME,0.060115606936416155
RRC,-0.20056899004267414
TRB,0.0
PEAK,0.05515993952774023
PM,0.06433549029367858
ISRG,0.09383921161932074
COG,-0.16978736908917813
MA,0.0310151370805547
DVA,-0.01163081540770372
IVZ,0.016592046352383427
CF,-0.0796019900497511
CRM,0.038537829413431535
FAST,-0.012270084591742503
LHX,0.06977944021669025
PXD,-0.07970961887477312
APH,-0.03572649572649578
NDAQ,0.0456967213114754
WEC,0.08575227121648554
SJM,0.026373828340378713
PBCT,-0.006715506715506692
WYNN,0.0033044999514044715
XRAY,0.09610939907550065
RSG,0.08136282735825073
WB,-0.1776084407971864
FLIR,-0.007414571244358514
IRM,-0.029079159935379573
WELL,0.05106060606060603
VTR,0.07792348383237702
HRL,0.04592828122239889
ORLY,0.053945002412175036
PWR,-0.04857044436789526
WDC,0.08730259001895124
FMC,-0.07963618143667628
SGP,-0.05222437137330749
KBH,-0.04653937947494036
CVG,-0.02143413873733435
CIEN,0.05909280066583422
V,0.10891963497203427
CLF,-0.4193533433769846
SAIC,0.008643367155204862
ROST,0.08578431372549011
ROP,-0.038512387193194164
