,t+1
MCK,-0.03478723404255313
D,0.005740740740740824
KLAC,0.03749892273609823
GLW,-0.1168730650154799
MET,-0.017246199169946075
DHR,0.014014891455527145
ETN,0.10847029077117587
MSI,0.009396533723115441
NI,0.02977982590885797
TROW,-0.03815701287046602
TPR,-0.16048332198774673
FITB,0.020679468242245314
USB,0.03172158915922396
BEN,0.03483941262216894
PAYX,0.0480923372875921
WHR,0.09978837701448806
WY,0.045210384959713634
RTX,-0.012733826376537194
HUM,-0.20710516153945158
HBAN,-0.028906250000000022
TSN,-0.20497881355932202
TXN,-0.05054025792959227
STT,-0.09502465262214244
K,-0.029698942229454683
LEG,0.09391222274657851
L,-0.032738822379672516
MKC,0.003130664030318142
NTRS,-0.012614180078294845
SPGI,0.02465633864281047
GE,0.0004815312694368412
MCO,0.10919540229885061
OMC,0.028700287002870084
ES,0.027570213862406545
WAT,-0.025040895935573126
FCX,-0.010288382442581012
ROK,0.02918258212375857
FE,0.01618777822743822
SRE,0.01895803183791611
VLO,0.1233641933896863
SBUX,-0.15269461077844304
VNO,-0.002627701416505812
VIAC,0.021367521367521514
QCOM,0.07241689128481577
ED,0.0363110539845759
WM,0.0253353204172877
MS,-0.06502395619438739
MAR,-0.07044410413476254
PNW,0.028428736073760952
PPL,0.03288122927107362
DRI,0.006291366005981569
ETR,0.06632428466617757
IP,0.13490119852920546
COP,-0.02733607289619444
AEP,0.05811623246492981
CVS,-0.03497547451482197
XEL,0.03314527503526099
SO,0.03659849300322926
PEP,0.033977822007392744
CVX,0.03778766928686417
PFE,0.052080736452360554
KR,-0.04025974025974022
PPG,0.029630326403913054
IBM,-0.0019352210226116773
PG,0.05733944954128445
DTE,0.044062606328683085
KMB,0.04146229546730429
CAT,-0.013356766256590547
HIG,-0.07062146892655363
CPB,-0.00570570570570561
KO,0.03457106274007682
CL,0.03819746639589994
NSC,0.03176814825135854
PEG,0.017758726270667546
BMY,-0.003917179630665957
DE,-0.05160493827160506
SEE,0.04583602324080038
BA,-0.004042581862282679
HSY,-0.0031957760177852013
EXC,0.03959606696784457
XOM,0.016502808988763995
EIX,-0.005812701829924771
F,-0.02736853310623799
GD,-0.040096837645634875
HAL,0.16408995080815192
MO,0.040497541220711586
UNP,0.022687463508215933
MRK,0.07078787878787884
HON,0.03771873656221891
ABT,0.03254413798714517
HWM,-0.030903406941319433
SHW,0.015495086923658308
EMR,0.021599657827202856
SLB,0.09867406722170835
CMI,-0.013881748071979394
CSX,0.028238458090542373
CLX,0.014369419642856984
GIS,0.007550117156990499
NEM,-0.07910627378483737
MCD,0.010745390792896714
LLY,0.0225267069205759
BAX,0.09466854472381891
BDX,0.007854100106496231
JNJ,0.026698309107089813
GPC,0.0579973562458691
HPQ,-0.09298912388692349
WMB,0.10305343511450382
JPM,-0.007444168734491385
IFF,0.021440351841671257
NEE,0.02412249024989177
TAP,0.011472275334607929
BAC,-0.10487804878048779
DUK,-0.0365316275764036
AXP,-0.013672876431379155
WFC,0.004158004158004269
LNC,-0.07731247123791996
DIS,0.010695187165775444
CI,-0.09074492099322795
INTC,-0.030554507732931002
TGT,0.039595474802879504
TXT,0.044506816359262125
VFC,0.127898838618542
WBA,0.22465476591444933
AIG,-0.03428042001235343
FDX,-0.014084507042253613
PCAR,0.01780791740841514
ADP,0.020941761898587874
GWW,0.07415176464418693
MAS,-0.13265573985660617
ADM,-0.09879101899827292
WMT,0.06939655172413817
SNA,0.08708901363271848
SWK,0.034808168316831756
BF.B,-0.036159615394708355
AAPL,0.04451666779824448
OXY,0.01280183243818378
CAG,-0.0448751727497787
LB,0.11306286179292035
T,0.06218487394957983
VZ,0.01919169112666519
LOW,-0.1085734364019677
PHM,0.05805243445692887
HES,0.09318497913769108
LMT,0.02233165368758594
HAS,0.048901903367496447
BLL,0.01143830615721586
NUE,0.03375527426160341
APD,0.006004267115475859
PKI,-0.018063028439661788
NOC,0.03680501174628037
CNP,0.01445086705202292
TJX,0.028571428571428692
DOV,0.010389308155191346
PH,0.0404145077720206
ITW,0.03583682805947386
GPS,0.07119505993461672
MDT,0.017290322580645112
SYY,0.008579272477693856
MMC,0.022790267939636566
AVY,0.12004365223717728
HD,-0.014728096676737135
PNC,-0.04151800194615629
C,-0.012377138696760048
NKE,0.05611494512953952
ECL,-0.04702970297029707
NWL,-0.03181568842567206
GL,-0.021632251720747342
ORCL,0.02268879105993893
ADSK,-0.03168712532115325
MRO,0.03560250391236308
AEE,0.015434847135648688
AMGN,0.1310420375188277
IPG,-0.09283088235294135
COST,0.01242023277631743
CSCO,-0.06779661016949157
EMN,0.030960362847564538
KEY,0.023076923076923217
UNM,-0.01819126819126804
MSFT,-0.0375571521881124
UNH,-0.1324503311258277
LUV,-0.011827956989247435
MU,-0.07726597325408624
BSX,-0.0977312390924957
AMAT,-0.04807692307692302
BK,-0.036668175645088175
ALL,-0.02887882219705562
CMA,-0.02548387096774196
AON,0.04792332268370614
AZO,0.024602697831904274
ADBE,-0.030759573132454476
CAH,0.02595238095238095
SCHW,-0.024710424710424617
EFX,0.001282599401453588
APA,-0.015883898982973377
PGR,-0.04499281627303198
YUM,0.008869683383246452
TFC,0.0035185902587235862
CINF,-0.010976075337235991
COF,0.02952433023510115
RF,0.02052785923753664
AES,-0.06800618238021627
CCL,-0.035921205098493725
LUMN,0.051911876424411085
CMS,0.04668930390492365
AFL,0.020988805970149294
NTAP,0.02994955863808335
BBY,-0.173218892172037
VMC,-0.028098344204716463
ADI,0.036604774535808904
XLNX,-0.03370116313748894
CTXS,-0.13558519536384273
A,-0.031368289973609076
RAD,-0.1594202898550725
EOG,0.09459459459459452
GRA,0.10249955264454491
CCK,0.04269532384548347
ABK,-0.6931818181818181
INTU,-0.021420138303255065
RHI,-0.056254367575122255
OI,-0.035546262415054874
AYE,0.1065261925665788
SBL,0.08333474358757398
SYK,-0.05399999999999994
CTAS,0.0200767433318485
FISV,-0.031353591160221184
ZBH,-0.08308697681655508
ABC,0.0043005312420947295
NVDA,-0.025197984161267173
EQR,0.007480123043821729
SPG,0.024447902409350686
EA,-0.10841423948220064
UPS,-0.03349098811197759
EBAY,0.04951225141145943
PFG,-0.03470388532629198
GS,0.04494614747307368
PRU,-0.012072846326989906
ANTM,-0.17019620056057305
TRV,-0.022315855181023747
CMCSA,0.014018691588784993
DGX,-0.027787021630615638
NLOK,0.08172878152501317
PLD,-0.030875299760191877
BIIB,0.01623719529725065
MTB,0.033718689788053924
VTRS,0.07416044776119413
GILD,0.061340105489353425
TMO,0.06463951042264293
LH,-0.10160256410256396
NOV,0.12546528920909017
DHI,-0.04444444444444451
STZ,0.054973821989528826
GLK,0.0
PSA,0.032439176543979986
AMP,-0.012223071046600475
LEN,-0.061978098088156575
AMZN,0.01744439598778902
EL,-0.034647991153704316
VRSN,0.026103026103026172
BXP,0.015288923813405297
KIM,0.03835908364411278
JNPR,0.07943349753694595
CME,-0.03137686625964997
WU,0.02831858407079646
CBRE,-0.05518496058217093
FIS,-0.07827616534740545
CTSH,-0.05854063018242117
AVB,0.04038760786532758
RL,0.029823059360730708
VAR,-0.10097244853165488
CHRW,-0.10088465464443686
HST,-0.0790497501684615
AIZ,0.033095577746077076
DFS,0.03690888119953861
AKAM,0.10420590081607028
KSE,-0.07763105242096846
MCHP,0.0039097744360903075
ICE,-0.07441630810467681
MXIM,0.06868131868131866
TDC,-0.060180681028491945
SLR,0.05882352941176472
EXPE,0.18187474077146426
EXPD,-0.08677792041078314
J,0.016873187450566762
AMT,0.031085127620134045
GME,-0.1312364425162691
RRC,0.018217306441119074
TRB,0.0
PEAK,0.058281664754231466
PM,0.04694298145179743
ISRG,-0.13472420945338592
COG,0.07244534824605986
MA,0.003447721056381692
DVA,-0.0022303325223033132
IVZ,-0.02166224580017695
CF,0.0
CRM,-0.09166605799430283
FAST,0.06864949679688981
LHX,0.0036144578313253017
PXD,0.0002257081593499688
APH,0.07269083621789041
NDAQ,-0.00351185250219499
WEC,0.022333751568381466
SJM,0.014799154334038
PBCT,-0.016309012875536433
WYNN,-0.08625730264517206
XRAY,-0.043432482232166336
RSG,0.09334845049130758
FLIR,0.04550102249488752
IRM,-0.020970905627771264
WELL,0.06339712918660267
JNY,0.10334029227557417
VTR,0.06156390651266208
HRL,-0.07948548812664913
ORLY,0.017685459940652848
PWR,-0.047244094488189003
WDC,0.30009807126511934
FMC,0.020903687112336256
CBE,0.05473220836390302
SGP,0.0
KBH,-0.04347826086956519
CVG,-0.004726536124240344
CIEN,-0.015960712093308627
V,0.038709158216642336
CLF,-0.169408096378452
ROST,0.06286994080947039
ROP,0.02314814814814814
NRG,0.13646788990825676
BRK.B,0.017998560115190854
HP,0.07539315448658646
DISCA,-0.06569493362232459
OKE,0.04532565744469119
CERN,-0.11292451698067918
KMX,0.06833013435700575
QEP,0.004683840749414525
CB,-0.010767160161507361
JCI,0.03465348665997925
PTV,-0.02777777777777779
TT,0.0007088603735616594
ODP,-0.19090909090909092
FFIV,-0.05149822244794322
NYT,-0.016497461928933976
NFLX,-0.17333284862585407
EW,-0.01747574512208272
BLK,0.0026500206112713975
CMG,-0.24272724917752508
MEE,0.0
RSH,0.07394048692515787
ACN,0.008529854490717526
MOS,0.05769930833636705
TEL,0.029310882444652187
ITT,0.04809843400447433
DLTR,-0.05783267827063443
BWA,0.04079416782999834
PRGO,-0.0327455513372501
TLAB,-0.009036144578313143
CCI,0.050772626931567366
CEG,-0.05882352941176472
FOSL,-0.06422138102075448
EP,0.0
KMI,0.1049058932428264
ALXN,0.04849999999999999
LRCX,-0.09399684044233814
MNST,-0.07673071550002153
STX,0.2158768732280274
GR,-0.16666666666666663
LYB,0.09706824340970677
PNR,0.13903143164526588
MDLZ,0.036275526483726894
DG,-0.0659219923091009
GRMN,0.010997643362136822
RRD,0.03324808184143224
TIE,-0.04504504504504503
PVH,0.016899244654973833
BIG,-0.012673653424323694
REGN,0.16934433347807198
MAC,-0.014345035862589617
KSU,0.04193502218405598
GM,0.0005076142131981154
HNZ,0.0
FHN,-0.05402298850574705
NLSN,0.08488770460601458
DAL,-0.1314131413141313
AMD,-0.29391304347826097
SAI,-0.4285714285714286
VRTX,-0.1352941176470589
AME,-0.06962785114045622
RIG,0.04182424916573968
NYX,-0.013168086754453912
MOLX,0.047539616346955915
ANF,-0.029014650962367328
ADS,-0.040236249538575075
TER,0.04326241134751774
MHK,-0.04705207287333224
TSCO,0.09035277177825773
ESS,0.01903898458748876
GOOGL,0.0879137559316494
SLM,0.012656208455198215
UAA,0.16598773993063531
AVGO,0.031590718479172386
LSI,0.13428684942391733
XEC,0.045940959409594084
AMG,0.016672740524781293
ENDP,-0.0415860735009671
SWKS,0.06321205439176758
HSIC,-0.054235374753054066
HBI,0.07176008568368442
EQIX,0.01221419773756649
NBR,-0.04287690179806358
SLG,-0.04660983178668743
O,-0.01600191067590151
QRVO,-0.0827423167848701
JBHT,-0.08162243365047561
ATI,-0.05536332179930792
AAP,0.025584795321637488
SIG,-0.007233273056057921
ATVI,0.0033361134278564464
UAL,-0.22677036430618092
VRSK,0.02488272486232912
GNW,-0.12195121951219512
ILMN,0.02623113090819107
CHD,0.0410191543187568
WLTW,0.007629427792915644
EXR,0.06298701298701292
FRT,0.041502923416083526
CXO,-0.0052508751458576475
AWK,0.05439208842350185
CNX,-0.0384857115580447
UDR,0.029002320185614883
CNC,0.25255186038854127
POM,-0.014705984843206843
HOLX,0.019262520638414937
FL,0.08440065681444997
ULTA,-0.08809626128061887
THC,-0.13320825515947465
GPN,-0.013591338401289899
AYI,0.07415647015202076
ALK,-0.035160575858250165
DLR,0.03830296581992276
LKQ,0.057151406343506794
AJG,0.01169090390647276
TDG,-0.08574813287529859
ALB,-0.02869536202869538
LNT,0.029535325571861337
MTD,-0.012755102040816313
CHTR,0.08155230596175467
COO,-0.054878814517141716
MAA,0.0077147016011644975
IDXX,-0.08261367183435642
INCY,0.09797891036906847
PBI,-0.11581733951025808
CBOE,0.026286894365224134
REG,-0.00020894274968652482
DISH,0.07065726387005689
