,t+1
MCK,0.0
D,-0.008287109677134197
KLAC,-0.04346446700507611
GLW,0.03574025974025963
DHR,0.12499120399690367
ETN,0.0022573363431150906
MSI,0.06067274549923818
NI,0.03496533363704968
TROW,0.019416548248808896
FITB,0.004784688995215447
USB,-0.0760905026849249
BEN,0.09906105785800134
PAYX,-0.09678251781636094
WHR,0.06306306306306309
WY,0.0
RTX,-0.030443372912259292
HUM,0.07210302680585445
HBAN,-0.04933576966763775
TSN,0.1172685019663926
TXN,0.1328156250000001
STT,-0.006688963210702337
K,0.017921146953405076
LEG,-0.01953125
L,-0.01762978854439845
MKC,0.1172685019663926
NTRS,-0.011598899182138966
SPGI,-0.040462427745664775
GE,0.11963922057817866
OMC,-0.005235602094240788
ES,-0.02840909090909094
ROK,-0.12886670037981096
ED,0.05339805825242716
WM,0.0644994840041282
PNW,-0.4246575342465754
PPL,0.03680937783502558
ETR,0.04705882352941182
IP,0.04859446502506004
COP,0.005348163778396531
AEP,0.0
CVS,-0.09181141439205953
XEL,0.03401360544217691
SO,0.02752293577981657
PEP,0.0304254697692532
CVX,0.003656307129798808
PFE,0.09008758838732511
KR,0.016666666666666607
PPG,-0.003154574132492094
IBM,-0.02375000000000005
PG,0.01568548724911989
DTE,0.02564102564102555
KMB,0.11442929502086585
CAT,0.03532008830022071
CPB,0.06098544327971833
KO,0.06185558507823363
CL,0.0
NSC,0.020270270270270174
PEG,0.008968609865470878
BMY,0.03009259259259256
DE,0.11342592592592604
SEE,0.0
BA,0.06902339205251051
HSY,0.014705882352941124
EXC,-0.03804347826086951
XOM,0.032786885245901676
EIX,0.030303030303030276
F,-0.05305172983575002
GD,-0.17688679245283023
HAL,0.08417508417508412
MO,-0.017389016276359692
UNP,-0.0051232876712328235
MRK,0.01446865080441695
HON,0.0034602176738613988
ABT,0.06130423020419906
HWM,0.03942463634322224
SHW,0.0
EMR,0.07499999999999996
SLB,0.09705882352941186
CMI,0.04060913705583746
CSX,-0.014757239135761324
CLX,0.009009009009008917
GIS,0.045533512665321574
NEM,0.10835763986728475
MCD,0.06477732793522262
LLY,0.08064516129032251
BAX,0.08196668544298724
BDX,0.039911308203991025
JNJ,0.01573033707865168
GPC,0.006666666666666599
HPQ,-0.02419083618725515
WMB,-0.0343722254538773
JPM,-0.05223880597014896
IFF,0.07812512207050304
NEE,-0.007352941176470562
TAP,0.09615384615384626
BAC,0.00536193029490617
DUK,0.004714447693501267
AXP,-0.010453226803633364
WFC,-0.005747126436781658
LNC,0.027196652719665204
DIS,0.0477157360406093
CI,0.0
INTC,0.04511893268851952
TGT,-0.03100775193798455
TXT,0.0
VFC,-0.014924615784699946
WBA,0.02298850574712641
AIG,0.03419840932917295
FDX,-0.040506329113924044
PCAR,0.06586895161855444
ADP,0.04838683266834409
GWW,0.08260869565217388
MAS,0.0353568555338466
