,t+1
CERN,-0.03332888888888885
JCI,-0.04051612903225821
TT,0.056679971333065016
ODP,-0.03649635036496368
NYT,-0.061224489795918324
PRGO,0.005682179775076568
TLAB,0.3111466666666667
LRCX,-0.004149418915375125
MNST,-0.11535029691394028
PNR,0.015227152468062721
RRD,-0.07627118644067798
PVH,-0.09716599190283404
BIG,-0.08333333333333337
REGN,0.0
KSU,-0.037849650349650266
HNZ,-0.06666694196788059
FHN,-0.05729692281046106
AMD,0.22282608695652173
VRTX,0.03125
MOLX,-0.07031413912147855
TER,-0.07377049180327866
LIFE,0.0
SLM,-0.09949276852423039
NBR,0.22580645161290325
JBHT,0.05128205128205132
ATI,0.0392749244712991
CHD,0.08695591682840464
FRT,-0.013574660633484115
UDR,-0.0818965517241379
HOLX,0.0
FL,-0.03952569169960474
THC,-0.13888888888888884
ALK,-0.022058823529411797
AJG,-0.05300353356890464
LNT,-0.041096453376073594
COO,-0.30000000000000004
IDXX,-0.01388888888888884
PBI,-0.041420118343195256
SNPS,0.040740740740740744
RJF,0.005494505494505475
DXC,-0.08346499704404897
SWN,0.002777777777777768
TGNA,0.0
R,-0.008928571428571397
BKR,0.16129291183008165
MUR,0.017910117334513975
MGM,0.0717488789237668
AOS,-0.088827507163324
DRE,0.05262119751030081
AN,-0.11764705882352944
CDNS,-0.11904875284526517
ABMD,-0.05714285714285716
EVRG,0.0036101083032491488
HFC,0.08434189557517136
ROL,-0.11707674889572817
EQT,-0.03247094077453083
JKHY,-0.039215686274509776
PCG,-0.0577617328519856
TFX,-0.11328125
ATO,0.07999999999999985
GT,-0.0016722408026755842
FLR,-0.053254437869822535
MAT,0.044198895027624197
IEX,0.04411730104077605
JEF,-0.05421624582265028
WRB,-0.08510603856746746
ODFL,0.03311240735148435
ZBRA,0.1634634245779758
M,-0.07602339181286555
WST,-0.010695187165775444
BIO,-0.1384615384615384
JWN,-0.13178062905111043
HOG,-0.12091503267973858
TYL,-0.04878048780487809
HRB,-0.05782312925170063
TIF,-0.04090181818181815
TRMB,0.12903225806451601
XRX,-0.07218069008093131
