,t+1
MCK,0.13577289333413178
D,-0.04987599889776806
KLAC,0.023909857446634764
GLW,0.01865136298421821
MET,-0.0029349929810609243
DHR,0.06882024744722282
ETN,0.01964854019648543
MSI,0.12030574941841143
NI,0.02608373626987892
TROW,-0.0069425371159193006
TPR,-0.07393084622383983
FITB,0.006322957198443779
USB,0.03508341511285584
BEN,0.05402888237756387
PAYX,-0.01603638104356153
WHR,-0.0615193514644351
WY,0.05577956989247301
RTX,-0.015335577073628315
HUM,0.1261310170104959
HBAN,0.009803921568627416
TSN,0.005208333333333259
TXN,0.02330646917882806
STT,0.011154144074360994
K,0.030475052285628967
LEG,0.032886723507917104
L,-0.020440608675902805
MKC,0.01359686010653216
NTRS,0.002156960345113479
SPGI,0.10485069585191176
GE,0.0022456429855766125
MCO,0.0923253735155154
OMC,0.05344980752146866
ES,-0.044411702799410646
WAT,0.020167040130372627
FCX,-0.004968509241309538
ROK,0.01996461966135965
FE,0.00029577048210582824
SRE,0.017335766423357546
VLO,-0.019075953797689893
SBUX,0.0351943462897526
VNO,0.04325851781402368
VIAC,0.030423509075194533
QCOM,0.024449255061759878
ED,-0.05318416523235803
WM,0.006533002928587495
MS,-0.0016175994823681705
MAR,0.06480041472265419
PNW,-0.0035958288385472548
PPL,0.04590064925260462
DRI,0.008043955352790899
ETR,0.03755674783326457
IP,0.023860296362193223
COP,0.06572457005732568
AEP,-0.011854047045749216
CVS,0.08117062396466035
XEL,-0.033008487896887706
SO,-0.029268292682926855
PEP,0.027093023255813975
CVX,-0.022839407926149802
PFE,-0.046656235256582024
KR,0.03535024940360021
PPG,0.04380015531969983
IBM,-0.06087310885843811
PG,-0.019419832503944634
DTE,-0.027717460722953113
KMB,0.00482912367502375
CAT,-0.028231939163498088
HIG,-0.03076923076923077
CPB,0.011235955056179803
KO,0.0029418975239028367
CL,0.01816016671628451
NSC,0.06749311294765836
PEG,-0.05021940516821066
BMY,-0.004204204204204198
DE,-0.021256038647343045
SEE,-0.033460522453771624
BA,0.05056703433276355
HSY,0.013641570342601383
EXC,0.03892806770098711
XOM,-0.014025107885445198
EIX,-0.028712348071164406
