,t+1
MCK,0.016614946987328683
D,0.06810749324612542
KLAC,0.06728232189973626
GLW,0.13409337676438637
MET,0.09932592345118185
DHR,0.055524643281327224
ETN,0.08441671000173345
MSI,0.06709895686495648
NI,0.09225776541492814
TROW,0.050479050479050214
TPR,0.027948717948718116
FITB,0.08447043534762844
USB,0.04910829671749828
BEN,0.07368631774572809
PAYX,0.04065510597302513
WHR,0.15240590453064096
WY,0.1856104094910065
RTX,0.08544896649734257
HUM,0.025791982057751683
HBAN,0.07796610169491514
TSN,0.023963133640553025
TXN,0.07387319992519181
STT,0.05593648502345716
K,0.026689914163090078
LEG,0.07174490699734282
L,0.04165532262455751
MKC,0.058410469198850956
NTRS,0.08544303797468356
SPGI,0.09370165745856363
GE,0.08092563246363693
MCO,0.07803952216143806
OMC,0.058501844079867915
ES,0.07045871559633032
WAT,0.08943760839045334
FCX,0.31887755102040827
ROK,0.08219960041860919
FE,0.07117331745086353
SRE,0.07025303435507091
VLO,0.06597972411500752
SBUX,0.01582440020418585
VNO,0.08627633164017512
VIAC,0.13190877337168683
QCOM,0.0011746280344557825
ED,0.08897100625355314
WM,0.050008898380494715
MS,-0.0031885213232363263
MAR,0.041709351675691675
PNW,0.08482658959537548
PPL,0.08091993185689961
DRI,0.030943865650754132
ETR,0.09050894085281969
IP,0.13936701832315368
COP,0.18197828001174066
AEP,0.06975994844530375
CVS,0.05674409127954361
XEL,0.054197126291908315
SO,0.07057119205298013
PEP,0.040406091370558395
CVX,0.13409415121255353
PFE,-0.005035517751793561
KR,-0.05227948463825571
PPG,0.14290107637109184
IBM,0.14526618269812452
PG,0.021976657561460167
DTE,0.07150455028956393
KMB,0.02687228032674227
CAT,0.11835184102863838
HIG,0.08423529411764696
CPB,0.025562700964630203
KO,0.06938681420009218
CL,0.06948228882833796
NSC,0.12973266386212523
PEG,0.09755529685681008
BMY,0.025196597656876873
DE,-0.04526289682539686
SEE,0.042336083369517885
BA,0.06663305604571046
HSY,0.004143495801984587
EXC,0.12873780295876602
XOM,0.037611717974180836
EIX,0.04567272727272731
F,0.03766090417262591
GD,-0.04088486529897051
HAL,0.0967147681915872
MO,0.00853050056333493
UNP,-0.0018820577164366803
MRK,0.05000992260369119
HON,0.08145877181243444
ABT,0.0750449755846827
HWM,0.05045416380428991
SHW,0.046811796719864684
EMR,0.09880783996767017
SLB,0.017802925752139265
CMI,0.1111784920153629
CSX,0.053169734151329306
CLX,-0.004029390850912473
GIS,0.06919831223628692
NEM,0.011415489497125675
MCD,0.06589771859893157
LLY,-0.008536417458350432
BAX,0.0360655737704918
BDX,0.021668909825033555
JNJ,0.02171860245514634
GPC,0.09222820710124213
HPQ,0.13653136531365329
WMB,-0.004337050805452325
JPM,0.04334038054968281
IFF,0.09058665644171793
NEE,0.04328660848100152
TAP,0.11720292716924163
BAC,0.06962025316455689
DUK,0.08063219930350929
AXP,0.0958415134749242
WFC,0.025880356385235448
LNC,0.06204280682741814
DIS,0.035557872784150124
CI,-0.024175199089874644
INTC,0.08085532910123638
TGT,0.03993933265925165
TXT,0.05436668594563332
VFC,-0.010995750646164648
WBA,0.054054054054053946
AIG,0.06754888406083337
FDX,0.17776491024898666
PCAR,0.049912958501405535
ADP,0.04776921280074742
GWW,0.06584174238619256
MAS,0.10583684950773553
ADM,0.03358952462282949
WMT,0.027606901725431232
SNA,0.0742438757355961
SWK,0.10875750869427758
BF.B,-0.011940704418745618
AAPL,0.11612903225806437
OXY,-0.011841155234656897
CAG,0.05385185050291663
LB,0.028340555100128784
T,0.05579514824797838
VZ,0.060600117670131404
LOW,0.11102962745673217
PHM,0.0783861671469741
HES,0.2023292989266956
LMT,0.022669559998153233
HAS,0.052977520704614145
BLL,0.06577963821198995
NUE,0.18368368368368349
APD,0.07676821089245567
PKI,0.045444937645318095
NOC,0.02358539360711709
CNP,0.1127659574468085
TJX,0.05365788058095733
DOV,0.046186640447763105
PH,0.07656522581895708
ITW,0.07684221591506368
GPS,0.060988812702995165
MDT,0.009557140934176811
SYY,0.04799282350302736
MMC,0.0579533588583363
AVY,0.09589665653495438
HD,0.06932200673184807
PNC,0.03361036421412855
C,0.06641123882503197
NKE,-0.008068420203324211
ECL,0.07696764847899562
NWL,0.15549178189407775
GL,0.04920573421154595
ORCL,0.10121130551816959
ADSK,0.11278625954198485
MRO,0.4318766066838047
AEE,0.06166560712015268
AMGN,0.03901593901593903
IPG,0.06644981412639406
COST,0.04773982964157142
CSCO,0.0763705103969754
EMN,0.10850214855739737
KEY,0.04150943396226414
UNM,0.07473062217587767
MSFT,0.0835785756327252
UNH,0.07875135994643911
LUV,0.06110847939365227
MU,-0.02785515320334253
BSX,0.10517038777908327
AMAT,0.10948140387637495
BK,0.03426003931479915
ALL,0.055294486215538896
CMA,0.11743877249926227
AON,0.08813418064381717
AZO,0.01851165288093992
ADBE,0.09171322160148976
CAH,-0.006907416383906795
SCHW,0.10445407962160025
EFX,0.08239416611421535
APA,0.26878086820899405
PGR,0.09266169154228865
YUM,0.12292437404482559
TFC,0.024005717260520587
CINF,0.027511189329146646
COF,0.03959802009899516
RF,0.03153745072273306
AES,0.20040691759918627
CCL,0.08602593126157654
LUMN,0.03430420711974125
CMS,0.06874842608914622
AFL,0.053738317757009435
NTAP,0.08985623003194898
BBY,0.00404216729496687
VMC,0.05823977546110659
ADI,0.09712696941612586
XLNX,-0.0077405857740585615
CTXS,0.09458135662006528
A,0.05899548232792973
RAD,0.02258469259723972
EOG,0.11490015360983108
GRA,0.03399186519465425
CCK,0.05152671755725202
ABK,-0.02898550724637672
INTU,0.06491246032558617
RHI,0.17507568113017147
OI,0.04587155963302769
SBL,0.0
SYK,0.06862549800796813
CTAS,0.06108223062381857
FISV,0.060587262200165526
ZBH,0.09927835051546396
ABC,-0.002880184331797264
NVDA,0.13326972010178118
EQR,0.11718249133879421
SPG,0.0886931907532631
EA,0.025756400310318117
UPS,0.0825207841527249
EBAY,-0.005418924551896631
PFG,0.03245223763412719
GS,0.03994700231864856
PRU,0.0747023809523808
ANTM,0.053992568438613775
TRV,0.0793489318413021
CMCSA,0.048943843379701146
DGX,0.0538348082595872
NLOK,0.17259998674940924
PLD,0.13631687242798352
ESRX,-0.02829254491441502
BIIB,-0.004017475520066149
MTB,0.07370864770748708
VTRS,-0.0023676280671545147
GILD,0.045051194539249106
TMO,0.09049599507085637
LH,0.05589110249707008
NOV,0.04925775978407554
DHI,0.12004446091144882
STZ,0.06087628142114876
PSA,0.10451287390381614
AMP,0.10496003761165973
LEN,0.14137361397240666
AMZN,0.0671412392816697
EL,0.022552314865011303
VRSN,0.040667606958157076
BXP,0.10504347826086957
GOOG,0.05873909212358952
KIM,0.06513693560325695
JNPR,0.030707070707070683
CME,0.04640969079222601
WU,0.046095444685466225
CBRE,0.12140077821011674
FIS,0.07651759904778088
CTSH,0.08346293416277883
AVB,0.10114050830776367
RL,0.0460769397956966
VAR,0.0185846673978447
CHRW,0.04859443424212451
HST,0.0788147103379826
AIZ,0.0757110987172338
DFS,0.09059755836367533
AKAM,0.022070995034026097
MCHP,0.08071748878923768
ICE,0.00996477965810505
MXIM,0.07890877090055737
TDC,0.03961965134706813
SLR,-0.9644444444444444
EXPE,0.026661588268901193
EXPD,0.05901497070948136
J,0.1201131687242798
AMT,0.10371967654986536
GME,0.021900161030595777
RRC,0.379045996592845
TRB,6.666666666666667
PEAK,0.09218889240762707
PM,0.07106986899563328
ISRG,0.06525714540929628
COG,0.1137812653261403
MA,0.07667768030078626
DVA,0.10262960180315539
IVZ,0.1366826745474694
CF,-0.15297297297297296
CRM,0.08382266588373444
FAST,0.07127176548379999
LHX,-0.01155262155643011
PXD,0.1576869293411205
APH,0.07953696788648235
NDAQ,0.04011281729865246
WEC,0.05775664729705943
SJM,0.011057467684161493
PBCT,0.08367346938775522
WYNN,0.10633510953226755
XRAY,0.008674304418985201
RSG,0.03564442512497279
WB,0.22861054072553055
FLIR,0.058124598587026455
IRM,0.1487127371273711
WELL,0.080904130943102
VTR,0.11492828050292192
HRL,0.009808500700607237
ORLY,0.039820655064974675
PWR,0.10969011313330057
WDC,0.07023108291798819
FMC,0.05930212137177593
CBE,-0.9999411764705882
SGP,0.644736842105263
KBH,0.1657142857142857
CVG,0.07385924207269912
CIEN,-0.08425613866153103
V,0.04781476914645855
CLF,0.3888604293764262
SAIC,0.1858603823921745
ROST,0.044183949504057685
ROP,0.08147928994082854
NRG,0.1968721251149954
BRK.B,0.05010731996151274
HP,0.08861698183166489
DISCA,0.13341250989707043
OKE,0.23235658274865867
CERN,0.02874902874902885
KMX,0.08978460226060991
QEP,0.4354018311291963
STR,0.014311594202898625
CB,0.02715517241379306
SII,0.33250345781466106
JCI,0.03583686430606514
PTV,-0.16666666666666663
