Date,Open,High,Low,Close,Volume,openinterest
2000-08-11,378.5779105076445,415.69338265282477,356.3086272205363,389.7125521511987,792892.0,0
2000-08-14,388.786534226989,389.7125521511987,356.3086272205363,356.3086272205363,80264.0,0
2000-08-15,360.9498828047008,367.4432688640903,356.3086272205363,360.0201744350544,48443.0,0
2000-08-16,358.1643535143924,387.8567312305365,358.1643535143924,367.4432688640903,42184.0,0
2000-08-17,363.73172164957236,371.15481607860846,354.45280629987434,356.3086272205363,47267.0,0
2000-08-18,372.08452444825485,426.82802429637877,367.4432688640903,424.9722033757168,60467.0,0
2000-08-21,447.24148666282485,482.5012325141491,413.8375617321626,450.95303387734293,66611.0,0
2000-08-22,456.52040201252294,465.79922273541496,400.8471937947526,400.8471937947526,33899.0,0
2000-08-23,402.70292008860855,408.2702882237888,378.5779105076445,386.00100493668054,17933.0,0
2000-08-24,384.1451840160185,387.8567312305365,358.1643535143924,358.1643535143924,18448.0,0
2000-08-25,373.0105423724644,384.1451840160185,360.0201744350544,382.28945772216247,20121.0,0
2000-08-28,398.0653549498809,402.23991112650384,371.15481607860846,389.7125521511987,19498.0,0
2000-08-29,398.99137287409064,400.8471937947526,374.86636329312637,397.1356465802346,22738.0,0
2000-08-30,396.209628656025,436.10684501927085,393.4240993657165,421.26065616119865,19899.0,0
2000-08-31,447.24148666282485,489.9243269431852,441.6742131544509,480.6454115934871,87436.0,0
2000-09-01,478.7896852996311,482.5012325141491,445.3857603689689,467.65504365607705,27749.0,0
2000-09-05,469.5107699499329,482.5012325141491,460.231949227041,462.08767552089694,23035.0,0
2000-09-06,478.7896852996311,482.5012325141491,452.808854798005,460.231949227041,20568.0,0
2000-09-07,475.0781380851132,475.0781380851132,397.1356465802346,426.82802429637877,23970.0,0
2000-09-08,423.57948604396563,430.53957151089685,408.2702882237888,415.69338265282477,15963.000000000002,0
2000-09-11,410.1260145176447,415.69338265282477,400.8471937947526,411.98183543830663,34561.0,0
2000-09-12,403.63272308506106,410.1260145176447,382.28945772216247,386.00100493668054,33868.0,0
2000-09-13,378.5779105076445,389.7125521511987,367.4432688640903,371.15481607860846,10366.0,0
2000-09-14,411.98183543830663,411.98183543830663,371.15481607860846,376.7220895869825,8112.0,0
2000-09-15,373.0105423724644,386.00100493668054,371.15481607860846,373.0105423724644,3601.0,0
2000-09-18,389.7125521511987,393.4240993657165,354.45280629987434,358.1643535143924,18667.0,0
2000-09-19,388.786534226989,389.7125521511987,319.1931550753561,334.0393439334282,48212.0,0
2000-09-20,341.46243836246424,343.31816465632016,289.5007773592119,308.058513431802,24114.0,0
2000-09-21,306.20269251113996,319.1931550753561,302.491145296622,315.48160786083815,25261.0,0
2000-09-22,284.86311759367817,321.0488813692121,280.22186200951376,313.62578694017606,8459.0,0
2000-09-25,315.48160786083815,321.0488813692121,278.36613571565783,280.22186200951376,21074.0,0
2000-09-26,293.21232457373,295.06805086758595,267.23149407210377,274.65449387433375,19643.0,0
2000-09-27,279.29584408530417,280.22186200951376,256.0968524285497,277.4400231646422,16763.0,0
2000-09-28,274.65449387433375,319.1931550753561,270.9430412866217,296.923871788248,22050.0,0
2000-09-29,299.7093064517503,300.635419002766,258.8822870920521,263.5199468575858,19145.0,0
2000-10-02,278.36613571565783,280.22186200951376,248.6736633727076,252.3853052140317,6890.0,0
2000-10-03,255.17073987753403,263.5199468575858,230.11592730011745,235.68329543529754,10132.0,0
2000-10-04,237.53911635595958,239.3948426498156,200.42354958397328,211.55819122752732,14606.0,0
2000-10-05,205.99091771915332,241.2505689436716,193.00045515493719,194.85627607559934,15184.0,0
2000-10-06,206.45392668125817,207.8466440130093,176.29854000300918,180.93979558717356,11417.0,0
2000-10-09,194.85627607559934,198.5678232901173,171.6609748642815,183.72163443204516,10654.0,0
2000-10-10,187.43318164656318,189.2889079404192,163.30807743879302,168.8754455739731,13327.0,0
2000-10-11,155.884983009757,170.73117186782912,120.6253317852388,122.48105807909477,42519.0,0
2000-10-12,151.24741787102937,155.884983009757,133.61569972264886,154.029256715901,37345.0,0
2000-10-13,168.8754455739731,233.82747451463547,164.23788043524547,224.54865379174348,42881.0,0
2000-10-16,241.2505689436716,243.1063898643336,218.98128565656341,241.2505689436716,38548.0,0
2000-10-17,252.3853052140317,254.2410315078876,226.40438008559943,231.97174822077955,11051.0,0
2000-10-18,230.11592730011745,248.6736633727076,176.29854000300918,239.3948426498156,19311.0,0
2000-10-19,252.3853052140317,276.51031479499585,200.42354958397328,205.06489979494373,26007.0,0
2000-10-20,222.69283287108144,222.69283287108144,207.8466440130093,217.12555936270743,21806.0,0
